//http://www.geomidpoint.com/random/
Latitude: 53°06′24″N   53.10679428
Distance: 55.6168 km  Bearing: 356.095°
Latitude: 52°26′23″N   52.43981848
Longitude: 23°56′12″E   23.93663327
Distance: 92.7522 km  Bearing: 145.856°
Latitude: 53°20′29″N   53.3412864
Longitude: 22°47′06″E   22.7849941
Distance: 34.5293 km  Bearing: 312.42°
Latitude: 52°15′40″N   52.26118336
Longitude: 23°06′41″E   23.11149077
Distance: 96.9891 km  Bearing: 182.307°
Latitude: 52°43′56″N   52.73230319
Longitude: 22°27′17″E   22.45465788
Distance: 65.3736 km  Bearing: 227.374°
Latitude: 53°23′11″N   53.38633072
Longitude: 24°32′21″E   24.53911516
Distance: 95.4408 km  Bearing: 72.245°
Latitude: 53°10′13″N   53.17022772
Longitude: 22°21′54″E   22.36512155
Distance: 53.7741 km  Bearing: 274.799°
Latitude: 53°21′16″N   53.35438001
Longitude: 22°26′26″E   22.44068163
Distance: 54.3877 km  Bearing: 297.278°
Latitude: 52°37′25″N   52.62362475
Longitude: 23°02′35″E   23.04312166
Distance: 57.2247 km  Bearing: 188.531°
Latitude: 53°00′41″N   53.01149011
Longitude: 23°48′57″E   23.81575379
Distance: 45.2769 km  Bearing: 107.033°
Latitude: 53°44′00″N   53.73326301
Longitude: 24°16′18″E   24.27155911
Distance: 99.0159 km  Bearing: 47.116°
Latitude: 53°41′50″N   53.69735065
Longitude: 23°46′30″E   23.77488693
Distance: 74.5744 km  Bearing: 32.355°
Latitude: 52°31′17″N   52.52144168
Longitude: 24°03′59″E   24.06644235
Distance: 90.8729 km  Bearing: 138.05°
Latitude: 53°23′42″N   53.3949256
Longitude: 23°45′59″E   23.7665491
Distance: 49.3278 km  Bearing: 53.479°
Latitude: 53°42′41″N   53.71138378
Longitude: 23°06′28″E   23.10768078
Distance: 64.5158 km  Bearing: 356.422°
Latitude: 53°17′48″N   53.29665075
Longitude: 22°07′15″E   22.12079028
Distance: 72.1527 km  Bearing: 285.078°
Latitude: 52°52′27″N   52.87405231
Longitude: 23°29′59″E   23.49973453
Distance: 36.2875 km  Bearing: 142.254°
Latitude: 52°43′41″N   52.72793274
Longitude: 22°45′22″E   22.75608612
Distance: 52.8256 km  Bearing: 211.756°
Latitude: 52°51′16″N   52.85441284
Longitude: 23°48′55″E   23.81523317
Distance: 53.191 km  Bearing: 125.296°
Latitude: 52°30′55″N   52.51538372
Longitude: 23°58′39″E   23.97756502
Distance: 87.5524 km  Bearing: 141.302°
Latitude: 53°45′40″N   53.761208
Longitude: 23°39′17″E   23.65473956
Distance: 76.9817 km  Bearing: 24.521°
Latitude: 53°42′02″N   53.70050205
Longitude: 22°45′04″E   22.75108749
Distance: 68.9806 km  Bearing: 336.498°
Latitude: 53°17′02″N   53.28378138
Longitude: 24°26′59″E   24.44961027
Distance: 86.9603 km  Bearing: 78.33°
Latitude: 52°56′02″N   52.93392432
Longitude: 24°33′22″E   24.55617529
Distance: 95.3839 km  Bearing: 102.833°
Latitude: 53°35′02″N   53.58392375
Longitude: 22°56′52″E   22.94778884
Distance: 52.3115 km  Bearing: 343.798°
Latitude: 53°40′32″N   53.6755072
Longitude: 23°51′01″E   23.85014344
Distance: 75.4238 km  Bearing: 36.523°
Latitude: 53°18′02″N   53.30054647
Longitude: 24°31′09″E   24.51909759
Distance: 91.8498 km  Bearing: 77.718°
Latitude: 52°48′11″N   52.80311934
Longitude: 22°49′37″E   22.82691437
Distance: 43.2054 km  Bearing: 212.151°
Latitude: 53°10′17″N   53.1714185
Longitude: 23°50′22″E   23.83933846
Distance: 44.9324 km  Bearing: 84.202°
Latitude: 52°50′54″N   52.84839048
Longitude: 24°34′47″E   24.57979624
Distance: 99.6098 km  Bearing: 107.931°
Latitude: 52°51′37″N   52.86031619
Longitude: 23°51′29″E   23.85798897
Distance: 55.179 km  Bearing: 122.997°
Latitude: 52°38′21″N   52.63903213
Longitude: 24°00′40″E   24.01115112
Distance: 78.7911 km  Bearing: 133.817°
Latitude: 53°04′07″N   53.0685284
Longitude: 23°43′22″E   23.72271255
Distance: 37.6664 km  Bearing: 100.665°
Latitude: 52°26′05″N   52.43465616
Longitude: 23°07′25″E   23.12356703
Distance: 77.677 km  Bearing: 182.265°
Latitude: 53°10′05″N   53.16796944
Longitude: 24°16′06″E   24.26820251
Distance: 73.4378 km  Bearing: 86.48°
Latitude: 52°57′48″N   52.9634183
Longitude: 22°48′22″E   22.80609192
Distance: 30.6905 km  Bearing: 232.358°
Latitude: 53°49′11″N   53.8196323
Longitude: 23°45′44″E   23.76221186
Distance: 85.9306 km  Bearing: 26.962°
Latitude: 53°00′54″N   53.01511388
Longitude: 22°12′41″E   22.21140245
Distance: 65.2969 km  Bearing: 258.85°
Latitude: 52°39′23″N   52.65631776
Longitude: 24°23′34″E   24.39283995
Distance: 97.7256 km  Bearing: 122.327°
Latitude: 52°41′37″N   52.69349007
Longitude: 22°44′50″E   22.74715574
Distance: 56.428 km  Bearing: 210.25°
Latitude: 53°02′16″N   53.03782717
Longitude: 23°08′11″E   23.13649372
Distance: 10.7483 km  Bearing: 191.611°
Latitude: 53°50′18″N   53.83846829
Longitude: 23°00′20″E   23.00549891
Distance: 79.2641 km  Bearing: 352.227°
Latitude: 52°19′44″N   52.32875797
Longitude: 22°42′09″E   22.70237962
Distance: 94.7557 km  Bearing: 199.55°
Latitude: 52°27′36″N   52.46011778
Longitude: 22°28′27″E   22.47409467
Distance: 88.1804 km  Bearing: 212.273°
Latitude: 53°57′51″N   53.96419528
Longitude: 23°01′42″E   23.02828251
Distance: 92.9728 km  Bearing: 354.323°
Latitude: 53°27′30″N   53.45845133
Longitude: 23°15′12″E   23.25324752
Distance: 36.6873 km  Bearing: 8.764°
Latitude: 52°42′16″N   52.70443678
Longitude: 24°18′42″E   24.3117088
Distance: 90.2274 km  Bearing: 121.391°
Latitude: 52°37′23″N   52.62299518
Longitude: 22°26′00″E   22.43323792
Distance: 75.1633 km  Bearing: 221.361°
Latitude: 53°23′50″N   53.3972684
Longitude: 23°59′18″E   23.98830283
Distance: 61.9616 km  Bearing: 61.293°
Latitude: 53°56′39″N   53.9441392
Longitude: 22°53′48″E   22.89663094
Distance: 92.0523 km  Bearing: 348.837°
Latitude: 53°35′42″N   53.59495303
Longitude: 23°49′32″E   23.82568101
Distance: 67.4272 km  Bearing: 40.02°
Latitude: 53°39′10″N   53.65273068
Longitude: 23°27′33″E   23.45918497
Distance: 60.9849 km  Bearing: 18.291°
Latitude: 52°17′09″N   52.28590887
Longitude: 22°57′59″E   22.96660557
Distance: 95.1429 km  Bearing: 188.316°
Latitude: 52°58′08″N   52.96875888
Longitude: 22°54′59″E   22.91636982
Distance: 24.8309 km  Bearing: 222.929°
Latitude: 52°32′10″N   52.53605508
Longitude: 23°59′00″E   23.9834363
Distance: 86.0042 km  Bearing: 140.149°
Latitude: 53°29′10″N   53.48612723
Longitude: 22°05′04″E   22.08446494
Distance: 82.099 km  Bearing: 299.06°
Latitude: 53°16′26″N   53.27379692
Longitude: 22°32′29″E   22.54149854
Distance: 44.6523 km  Bearing: 290.86°
